experiment_id,outcome,evaluation_split,learner,train_size,evaluation_size,split_seed,model_seed,hyperparameters,overall_itt,mean_predicted_cate,auuc,qini,fit_seconds,predict_seconds,python_version,sklearn_version,econml_version
20260820T133011Z_9d0f69f5,conversion,validation,CausalForestDML,300000,1000000,42,42,"{""cv"": 3, ""honest"": true, ""inference"": true, ""learner"": ""CausalForestDML"", ""max_depth"": null, ""max_samples"": 0.45, ""min_samples_leaf"": 100, ""model_seed"": 42, ""n_estimators"": 400, ""n_jobs"": -1, ""split_seed"": 42, ""test_size"": 3000000, ""train_size"": 300000, ""validation_size"": 1000000}",0.0013139178517581418,0.0006542454962279471,0.0009487257276880918,0.00029176680180900347,251.46933220897336,4.516684041009285,3.11.14,1.6.1,0.16.0
20260820T133445Z_b368a842,visit,validation,CausalForestDML,300000,1000000,42,42,"{""cv"": 3, ""honest"": true, ""inference"": true, ""learner"": ""CausalForestDML"", ""max_depth"": null, ""max_samples"": 0.45, ""min_samples_leaf"": 100, ""model_seed"": 42, ""n_estimators"": 400, ""n_jobs"": -1, ""split_seed"": 42, ""test_size"": 3000000, ""train_size"": 300000, ""validation_size"": 1000000}",0.01019402890093643,0.007813929287148977,0.009221601803646146,0.004124587353176665,270.62453824997647,4.281142207968514,3.11.14,1.6.1,0.16.0
20260820T134028Z_24c4938a,conversion,validation,CausalForestDML,1000000,1000000,42,42,"{""cv"": 3, ""honest"": true, ""inference"": true, ""learner"": ""CausalForestDML"", ""max_depth"": null, ""max_samples"": 0.45, ""min_samples_leaf"": 100, ""model_seed"": 42, ""n_estimators"": 400, ""n_jobs"": -1, ""split_seed"": 42, ""test_size"": 3000000, ""train_size"": 1000000, ""validation_size"": 1000000}",0.0013139178517581418,0.0008985657258569681,0.0011677214763304565,0.0005107625504513721,1144.1179308749852,5.4444573749788105,3.11.14,1.6.1,0.16.0
20260820T140035Z_5c4d37eb,visit,validation,CausalForestDML,1000000,1000000,42,42,"{""cv"": 3, ""honest"": true, ""inference"": true, ""learner"": ""CausalForestDML"", ""max_depth"": null, ""max_samples"": 0.45, ""min_samples_leaf"": 100, ""model_seed"": 42, ""n_estimators"": 400, ""n_jobs"": -1, ""split_seed"": 42, ""test_size"": 3000000, ""train_size"": 1000000, ""validation_size"": 1000000}",0.01019402890093643,0.006763790971942933,0.009372231281947056,0.004275216831475446,1166.0206306250184,5.300530584005173,3.11.14,1.6.1,0.16.0
20260821T132819Z_2f18d0dc,conversion,validation,S-Learner,300000,1000000,42,42,"{""learning_rate"": 0.05, ""min_child_samples"": 100, ""model_seed"": 42, ""n_estimators"": 300, ""n_jobs"": -1, ""num_leaves"": 31, ""train_size"": 300000, ""verbosity"": -1}",0.0013139178517581418,0.0005671128920074298,0.0010536561988861895,0.0003966972730070924,5.1897407079814,0.0,3.11.14,1.6.1,0.16.0
20260821T132825Z_79b738b1,conversion,validation,T-Learner,300000,1000000,42,42,"{""learning_rate"": 0.05, ""min_child_samples"": 100, ""model_seed"": 42, ""n_estimators"": 300, ""n_jobs"": -1, ""num_leaves"": 31, ""train_size"": 300000, ""verbosity"": -1}",0.0013139178517581418,0.0019201922714236516,0.0011293777991390037,0.0004724188732599142,9.331404916010797,0.0,3.11.14,1.6.1,0.16.0
20260821T132835Z_754fb9f4,conversion,validation,X-Learner,300000,1000000,42,42,"{""learning_rate"": 0.05, ""min_child_samples"": 100, ""model_seed"": 42, ""n_estimators"": 300, ""n_jobs"": -1, ""num_leaves"": 31, ""train_size"": 300000, ""verbosity"": -1}",0.0013139178517581418,0.0006686869412949126,0.0008688042909929922,0.00021184536511389203,13.801237415987998,0.0,3.11.14,1.6.1,0.16.0
20260821T132926Z_37b20a31,conversion,validation,CausalForestDML,300000,1000000,42,123,"{""cv"": 3, ""honest"": true, ""inference"": true, ""label"": ""seed_123"", ""learner"": ""CausalForestDML"", ""max_depth"": null, ""max_samples"": 0.45, ""min_samples_leaf"": 100, ""model_seed"": 123, ""n_estimators"": 400, ""n_jobs"": -1, ""save_model"": false, ""split_seed"": 42, ""test_size"": 3000000, ""train_size"": 300000, ""validation_size"": 1000000}",0.0013139178517581418,0.0007023097657923008,0.0010313488288773856,0.00037438990299829976,253.7776197498897,4.6112857080297545,3.11.14,1.6.1,0.16.0
20260821T133346Z_6eb9a166,conversion,validation,CausalForestDML,300000,1000000,42,2026,"{""cv"": 3, ""honest"": true, ""inference"": true, ""label"": ""seed_2026"", ""learner"": ""CausalForestDML"", ""max_depth"": null, ""max_samples"": 0.45, ""min_samples_leaf"": 100, ""model_seed"": 2026, ""n_estimators"": 400, ""n_jobs"": -1, ""save_model"": false, ""split_seed"": 42, ""test_size"": 3000000, ""train_size"": 300000, ""validation_size"": 1000000}",0.0013139178517581418,0.0007335684978125405,0.0011103988368071885,0.00045343991092809796,253.57586920796894,4.8238336249487475,3.11.14,1.6.1,0.16.0
20260821T133805Z_2828a7c0,conversion,validation,CausalForestDML,300000,1000000,42,42,"{""cv"": 3, ""honest"": true, ""inference"": true, ""label"": ""leaf_50"", ""learner"": ""CausalForestDML"", ""max_depth"": null, ""max_samples"": 0.45, ""min_samples_leaf"": 50, ""model_seed"": 42, ""n_estimators"": 400, ""n_jobs"": -1, ""save_model"": false, ""split_seed"": 42, ""test_size"": 3000000, ""train_size"": 300000, ""validation_size"": 1000000}",0.0013139178517581418,0.0006752474407776309,0.0009514628671617694,0.0002945039412826693,256.31716495903675,5.435498084058054,3.11.14,1.6.1,0.16.0
